;period_from;period_to;region_key;country_key;bz_key;adjacent_bz_key;adjacent_systems_key;adjacent_systems_label;operator_key;points_names;indicator;direction_key;note;value
97;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;-----------;Distribution;Distribution;PL-TSO-0002;Aggregated Distribution - H-gas (PL)|Branice Czechy;Physical Flow;entry;;12960
98;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;-----------;Final Consumers;Final Consumers;PL-TSO-0002;Final Consumers H-gas (PL)|Gas mixing facilities (PL);Physical Flow;exit;;7508508
99;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;-----------;LNG Terminals;LNG Terminals;PL-TSO-0002;Swinoujscie;Physical Flow;entry;;2318263
100;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;-----------;Production;Production;PL-TSO-0002;Domestic Gas Fields (PL)|Nitrogen Removal Plants (PL);Physical Flow;entry;;2548764
101;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;-----------;Storage;Storage;PL-TSO-0002;GIM Kawerna|GIM Sanok |IM Wierzchowice;Physical Flow;exit;;0
102;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;-----------;Storage;Storage;PL-TSO-0002;GIM Kawerna|GIM Sanok |IM Wierzchowice|Magazyn LNG Janowice;Physical Flow;entry;;6033034
103;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;-----------;UA;Ukraine;PL-TSO-0002;GCP GAZ-SYSTEM/UA TSO;Physical Flow;exit;Gas TSO UA;0
104;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;CZ---------;TransmissionCZ---------;Czech;PL-TSO-0002;Cieszyn (PL) / Český Těšín (CZ);Physical Flow;entry;;1094148
105;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;CZ---------;TransmissionCZ---------;Czech;PL-TSO-0002;Cieszyn (PL) / Český Těšín (CZ);Physical Flow;exit;;0
106;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;PL-TSO-0002;GCP GAZ-SYSTEM/ONTRAS;Physical Flow;entry;;169674
107;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;PL-TSO-0002;GCP GAZ-SYSTEM/ONTRAS;Physical Flow;exit;;0
108;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;PL-YAMAL---;TransmissionPL-YAMAL---;TGPS (YAMAL);PL-TSO-0002;Point of Interconnection (PWP) (PL);Physical Flow;entry;;6564310
109;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;PL-YAMAL---;TransmissionPL-YAMAL---;TGPS (YAMAL);PL-TSO-0002;Point of Interconnection (PWP) (PL);Physical Flow;exit;;0
110;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL-L-gas---;-----------;Distribution;Distribution;PL-TSO-0002;Aggregated Distribution - L-gas (PL);Physical Flow;entry;;459171
111;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL-L-gas---;-----------;Distribution;Distribution;PL-TSO-0002;Aggregated Distribution - L-gas (PL);Physical Flow;exit;;846933
112;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL-L-gas---;-----------;Final Consumers;Final Consumers;PL-TSO-0002;Final Consumers - L-gas (PL);Physical Flow;exit;;16440
113;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL-L-gas---;-----------;Production;Production;PL-TSO-0002;Domestic Gas Fields - L-gas (PL);Physical Flow;entry;;500751
114;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL-L-gas---;-----------;Production;Production;PL-TSO-0002;Nitrogen Removal Plants - L-gas (PL);Physical Flow;exit;;164117
115;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL-YAMAL---;-----------;BY;Belarus;PL-TSO-0001;Kondratki;Physical Flow;entry;Gazprom Belarus;42804712
