;capacity_booking_status;capacity_commercial_type;capacity_type;data_set;direction_key;flow_status;general_remarks;id;indicator;interruption_type;is_cam_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;restoration_information;tso_eic_code;tso_item_identifier;unit;value
40;;Booked;Firm;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryUnplannedFirmBookedkWh/d;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/d;
41;;N/A;Firm;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryUnplannedFirmN/AkWh/d;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/d;0.0
42;;Booked;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitUnplannedFirmBookedkWh/d;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/d;
43;;N/A;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitUnplannedFirmN/AkWh/d;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/d;0.0
44;;Booked;Firm;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryUnplannedFirmBookedkWh/h;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;
45;;N/A;Firm;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryUnplannedFirmN/AkWh/h;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;0.0
46;;Booked;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitUnplannedFirmBookedkWh/h;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;
47;;N/A;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitUnplannedFirmN/AkWh/h;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;0.0
48;;Booked;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297exitActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruption of Interruptible capacity;2018-08-08T11:24:03+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;
49;;Booked;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297exitPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-08-08T11:24:03+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;
